k,rho_pct,channel,TSR,CI_low,CI_high
8,1.5625,AWGN,0.851,0.8276,0.8717
8,1.5625,Rayleigh,0.621,0.5905,0.6506
8,1.5625,Rician_K5,0.706,0.677,0.7334
8,1.5625,Rician_K10,0.795,0.7689,0.8189
8,1.5625,TDL-A,0.835,0.8107,0.8567
16,3.125,AWGN,0.858,0.835,0.8783
16,3.125,Rayleigh,0.592,0.5612,0.6221
16,3.125,Rician_K5,0.698,0.6688,0.7257
16,3.125,Rician_K10,0.795,0.7689,0.8189
16,3.125,TDL-A,0.83,0.8055,0.852
32,6.25,AWGN,0.855,0.8318,0.8755
32,6.25,Rayleigh,0.592,0.5612,0.6221
32,6.25,Rician_K5,0.718,0.6893,0.745
32,6.25,Rician_K10,0.806,0.7803,0.8293
32,6.25,TDL-A,0.815,0.7897,0.8378
64,12.5,AWGN,0.889,0.868,0.907
64,12.5,Rayleigh,0.568,0.5371,0.5984
64,12.5,Rician_K5,0.701,0.6719,0.7286
64,12.5,Rician_K10,0.801,0.7751,0.8246
64,12.5,TDL-A,0.831,0.8065,0.853
128,25.0,AWGN,0.94,0.9235,0.9531
128,25.0,Rayleigh,0.709,0.6801,0.7363
128,25.0,Rician_K5,0.812,0.7866,0.835
128,25.0,Rician_K10,0.896,0.8755,0.9134
128,25.0,TDL-A,0.895,0.8745,0.9125
